product_id,product_name,category,category_1,category_2,category_3,actual_price,discount_price,discount_percentage,rating,rating_count
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1099.00,399,64,4.2,24269
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,349.00,199,43,4,43994
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1899.00,199,90,3.9,7928
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,699.00,329,53,4.2,94363
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,399.00,154,61,4.2,16905
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1000.00,149,85,3.9,24871
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,499.00,176.63,65,4.1,15188
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,299.00,229,23,4.3,30411
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,999.00,499,50,4.2,179691
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,299.00,199,33,4,43994
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,339.00,154,55,4.3,13391
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,799.00,299,63,4.2,94363
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",Accessories,Cables,700.00,219,69,4.4,426973
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,899.00,350,61,4.2,2262
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,399.00,159,60,4.1,4768
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,399.00,349,13,4.4,18757
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,24999.00,13999,44,4.2,32840
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,399.00,249,38,4,43994
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,499.00,199,60,4.1,13045
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,21990.00,13490,39,4.3,11976
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1799.00,970,46,4.5,815
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,"HomeTheater,TV&Video",Accessories,Cables,499.00,279,44,3.7,10962
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,22900.00,13490,41,4.3,16299
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,199.00,59,70,4,9378
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,19990.00,11499,42,4.3,4703
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,"HomeTheater,TV&Video",Accessories,Cables,699.00,199,72,4.2,12153
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,"HomeTheater,TV&Video",Televisions,SmartTelevisions,19999.00,14999,25,4.2,34899
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,399.00,299,25,4,2766
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1999.00,970,51,4.4,184
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,999.00,299,70,4.3,20850
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,750.00,199,73,4.5,74976
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,499.00,179,64,4,1934
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1099.00,389,65,4.3,974
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,599.00,599,0,4.3,355
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,999.00,199,80,3.9,1075
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,666.66,99,85,3.9,24871
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,1900.00,899,53,4.4,13552
